author,price,rating,scraped_at,tags,title,url
Albert Einstein,,,2025-08-09T08:04:22Z,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,https://quotes.toscrape.com/page/1/
J.K. Rowling,,,2025-08-09T08:04:22Z,"abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",https://quotes.toscrape.com/page/1/
Albert Einstein,,,2025-08-09T08:04:22Z,"inspirational,life,live,miracle,miracles",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,https://quotes.toscrape.com/page/1/
Jane Austen,,,2025-08-09T08:04:22Z,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",https://quotes.toscrape.com/page/1/
Marilyn Monroe,,,2025-08-09T08:04:22Z,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",https://quotes.toscrape.com/page/1/
Albert Einstein,,,2025-08-09T08:04:22Z,"adulthood,success,value",“Try not to become a man of success. Rather become a man of value.”,https://quotes.toscrape.com/page/1/
André Gide,,,2025-08-09T08:04:22Z,"life,love",“It is better to be hated for what you are than to be loved for what you are not.”,https://quotes.toscrape.com/page/1/
Thomas A. Edison,,,2025-08-09T08:04:22Z,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”",https://quotes.toscrape.com/page/1/
Eleanor Roosevelt,,,2025-08-09T08:04:22Z,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,https://quotes.toscrape.com/page/1/
Steve Martin,,,2025-08-09T08:04:22Z,"humor,obvious,simile","“A day without sunshine is like, you know, night.”",https://quotes.toscrape.com/page/1/
Marilyn Monroe,,,2025-08-09T08:04:22Z,"friends,heartbreak,inspirational,life,love,sisters","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",https://quotes.toscrape.com/page/2/
J.K. Rowling,,,2025-08-09T08:04:22Z,"courage,friends","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",https://quotes.toscrape.com/page/2/
Albert Einstein,,,2025-08-09T08:04:22Z,"simplicity,understand","“If you can't explain it to a six year old, you don't understand it yourself.”",https://quotes.toscrape.com/page/2/
Bob Marley,,,2025-08-09T08:04:22Z,love,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",https://quotes.toscrape.com/page/2/
Dr. Seuss,,,2025-08-09T08:04:22Z,fantasy,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",https://quotes.toscrape.com/page/2/
Douglas Adams,,,2025-08-09T08:04:22Z,"life,navigation","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",https://quotes.toscrape.com/page/2/
Elie Wiesel,,,2025-08-09T08:04:22Z,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",https://quotes.toscrape.com/page/2/
Friedrich Nietzsche,,,2025-08-09T08:04:22Z,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",https://quotes.toscrape.com/page/2/
Mark Twain,,,2025-08-09T08:04:22Z,"books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”",https://quotes.toscrape.com/page/2/
Allen Saunders,,,2025-08-09T08:04:22Z,"fate,life,misattributed-john-lennon,planning,plans",“Life is what happens to us while we are making other plans.”,https://quotes.toscrape.com/page/2/
Pablo Neruda,,,2025-08-09T08:04:23Z,"love,poetry","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",https://quotes.toscrape.com/page/3/
Ralph Waldo Emerson,,,2025-08-09T08:04:23Z,happiness,“For every minute you are angry you lose sixty seconds of happiness.”,https://quotes.toscrape.com/page/3/
Mother Teresa,,,2025-08-09T08:04:23Z,attributed-no-source,"“If you judge people, you have no time to love them.”",https://quotes.toscrape.com/page/3/
Garrison Keillor,,,2025-08-09T08:04:23Z,"humor,religion",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,https://quotes.toscrape.com/page/3/
Jim Henson,,,2025-08-09T08:04:23Z,humor,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,https://quotes.toscrape.com/page/3/
Dr. Seuss,,,2025-08-09T08:04:23Z,"comedy,life,yourself","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",https://quotes.toscrape.com/page/3/
Albert Einstein,,,2025-08-09T08:04:23Z,"children,fairy-tales","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",https://quotes.toscrape.com/page/3/
J.K. Rowling,,,2025-08-09T08:04:23Z,,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",https://quotes.toscrape.com/page/3/
Albert Einstein,,,2025-08-09T08:04:23Z,imagination,“Logic will get you from A to Z; imagination will get you everywhere.”,https://quotes.toscrape.com/page/3/
Bob Marley,,,2025-08-09T08:04:23Z,music,"“One good thing about music, when it hits you, you feel no pain.”",https://quotes.toscrape.com/page/3/
Dr. Seuss,,,2025-08-09T08:04:24Z,"learning,reading,seuss","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",https://quotes.toscrape.com/page/4/
J.K. Rowling,,,2025-08-09T08:04:24Z,dumbledore,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",https://quotes.toscrape.com/page/4/
Bob Marley,,,2025-08-09T08:04:24Z,friendship,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",https://quotes.toscrape.com/page/4/
Mother Teresa,,,2025-08-09T08:04:24Z,"misattributed-to-mother-teresa,paraphrased",“Not all of us can do great things. But we can do small things with great love.”,https://quotes.toscrape.com/page/4/
J.K. Rowling,,,2025-08-09T08:04:24Z,"death,inspirational","“To the well-organized mind, death is but the next great adventure.”",https://quotes.toscrape.com/page/4/
Charles M. Schulz,,,2025-08-09T08:04:24Z,"chocolate,food,humor",“All you need is love. But a little chocolate now and then doesn't hurt.”,https://quotes.toscrape.com/page/4/
William Nicholson,,,2025-08-09T08:04:24Z,"misattributed-to-c-s-lewis,reading",“We read to know we're not alone.”,https://quotes.toscrape.com/page/4/
Albert Einstein,,,2025-08-09T08:04:24Z,"knowledge,learning,understanding,wisdom",“Any fool can know. The point is to understand.”,https://quotes.toscrape.com/page/4/
Jorge Luis Borges,,,2025-08-09T08:04:24Z,"books,library",“I have always imagined that Paradise will be a kind of library.”,https://quotes.toscrape.com/page/4/
