author,price,rating,scraped_at,tags,title,url
,£51.77,,2025-08-09T08:04:36Z,,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
,£53.74,,2025-08-09T08:04:36Z,,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
,£50.10,,2025-08-09T08:04:36Z,,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html
,£47.82,,2025-08-09T08:04:36Z,,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
,£54.23,,2025-08-09T08:04:36Z,,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
,£22.65,,2025-08-09T08:04:36Z,,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
,£33.34,,2025-08-09T08:04:36Z,,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
,£17.93,,2025-08-09T08:04:36Z,,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
,£22.60,,2025-08-09T08:04:36Z,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
,£52.15,,2025-08-09T08:04:36Z,,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
,£13.99,,2025-08-09T08:04:36Z,,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
,£20.66,,2025-08-09T08:04:36Z,,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
,£17.46,,2025-08-09T08:04:36Z,,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html
,£52.29,,2025-08-09T08:04:36Z,,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
,£35.02,,2025-08-09T08:04:36Z,,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
,£57.25,,2025-08-09T08:04:36Z,,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
,£23.88,,2025-08-09T08:04:36Z,,Olio,https://books.toscrape.com/catalogue/olio_984/index.html
,£37.59,,2025-08-09T08:04:36Z,,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
,£51.33,,2025-08-09T08:04:36Z,,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
,£45.17,,2025-08-09T08:04:36Z,,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
,£12.84,,2025-08-09T08:04:37Z,,In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
,£37.32,,2025-08-09T08:04:37Z,,How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html
,£30.52,,2025-08-09T08:04:37Z,,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
,£25.27,,2025-08-09T08:04:37Z,,Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
,£34.53,,2025-08-09T08:04:37Z,,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html
,£54.64,,2025-08-09T08:04:37Z,,Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
,£22.50,,2025-08-09T08:04:37Z,,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
